image,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,bbox_rotation,angle_deg
2659ffa5-color.png,343.5,89.6,326.0,68.6,38.5,37.9,0,41.9
2659ffa5-color.png,345.3,145.0,326.0,125.7,40.3,36.1,0,136.1
2659ffa5-color.png,346.5,200.9,332.0,179.8,29.5,43.9,0,263.3
2659ffa5-color.png,413.2,200.9,398.8,178.6,29.5,42.1,0,115.1
2659ffa5-color.png,412.0,143.2,393.4,125.7,40.9,33.7,0,334.1
2659ffa5-color.png,411.4,84.8,397.6,65.0,27.7,46.3,0,272.9
dd60aa44-color.png,362.7,193.7,348.2,171.4,29.6,44.0,0,260.8
dd60aa44-color.png,429.5,192.5,413.4,172.0,31.9,40.9,0,115.8
dd60aa44-color.png,429.5,135.9,410.1,120.3,38.9,31.7,0,328.5
dd60aa44-color.png,362.1,136.5,343.3,119.9,35.4,33.8,0,139.8
dd60aa44-color.png,359.7,80.6,341.7,62.6,37.3,36.7,0,41.5
dd60aa44-color.png,427.7,77.6,413.8,58.9,29.5,42.7,0,284.4
26ec68e2-color.png,362.7,195.5,348.4,173.0,28.7,40.3,0,238.8
26ec68e2-color.png,362.7,138.3,348.1,116.0,29.5,42.9,0,106.8
26ec68e2-color.png,359.7,80.6,340.5,66.8,41.9,28.8,0,3.2
26ec68e2-color.png,428.9,78.2,413.3,58.7,29.4,41.7,0,270.0
26ec68e2-color.png,428.9,136.5,407.3,120.6,43.6,30.4,0,1.6
26ec68e2-color.png,429.5,195.5,414.3,172.0,29.5,40.9,0,116.6
6f323235-color.png,361.5,79.4,337.9,67.9,44.1,27.7,0,358.3
6f323235-color.png,362.7,137.7,347.5,115.9,28.9,43.3,0,107.6
6f323235-color.png,363.3,195.5,348.1,172.6,29.0,41.8,0,232.8
6f323235-color.png,428.9,193.7,409.0,176.3,39.9,32.0,0,138.4
6f323235-color.png,429.5,136.5,407.8,121.0,42.9,28.8,0,23.6
6f323235-color.png,427.7,78.8,415.7,61.8,27.4,39.2,0,255.2
07865578-color.png,359.1,80.0,345.8,64.3,32.7,34.3,0,317.4
07865578-color.png,360.3,137.7,346.4,116.4,28.9,42.9,0,75.2
07865578-color.png,361.5,193.7,342.9,179.6,40.3,28.4,0,209.7
07865578-color.png,428.9,194.9,407.8,178.1,42.9,29.4,0,180.0
07865578-color.png,427.1,135.9,407.2,120.9,43.6,29.6,0,348.1
07865578-color.png,428.9,78.2,409.4,61.5,37.5,36.0,0,225.4
f05074cb-color.png,362.7,193.1,345.4,175.1,33.0,37.6,0,229.4
f05074cb-color.png,429.5,193.1,408.3,178.8,42.5,28.8,0,199.0
f05074cb-color.png,429.5,135.9,413.7,115.5,30.4,40.0,0,303.7
f05074cb-color.png,360.9,138.3,347.0,117.0,28.2,41.1,0,108.7
f05074cb-color.png,359.7,80.0,346.1,59.7,27.9,42.0,0,295.1
f05074cb-color.png,429.5,77.6,408.0,65.6,42.6,27.7,0,183.4
47649de1-color.png,360.9,81.2,344.1,66.9,35.8,30.8,0,323.8
47649de1-color.png,360.9,140.2,347.1,115.8,27.9,43.5,0,85.1
47649de1-color.png,362.7,194.9,341.6,178.7,42.5,29.6,0,186.9
47649de1-color.png,430.1,193.7,407.7,178.4,43.9,29.5,0,162.1
47649de1-color.png,429.5,136.5,414.6,113.9,28.7,42.3,0,273.7
47649de1-color.png,429.5,78.8,406.7,64.1,44.2,28.7,0,162.1
04f3656c-color.png,361.5,80.0,344.0,65.4,36.5,31.8,0,323.8
04f3656c-color.png,361.5,140.2,346.8,116.5,29.5,40.3,0,64.8
04f3656c-color.png,362.1,193.7,344.5,176.9,37.3,32.6,0,216.2
04f3656c-color.png,429.5,193.1,407.8,177.8,43.1,29.5,0,190.0
04f3656c-color.png,429.5,135.9,414.6,114.7,29.7,43.1,0,249.4
04f3656c-color.png,429.5,77.6,414.0,58.2,28.7,42.0,0,110.8
f789f7cb-color.png,360.3,79.5,346.5,61.8,28.5,39.6,0,276.0
f789f7cb-color.png,360.9,137.1,343.2,121.7,38.3,30.9,0,33.2
f789f7cb-color.png,362.4,194.1,346.3,173.0,32.0,40.2,0,233.6
f789f7cb-color.png,429.7,193.9,408.6,178.6,42.3,29.3,0,151.6
